country,adjective,person
Romania,Romanian,a Romanian
Russia,Russian,a Russian
Rwanda,Rwandan,a Rwandan
Saudi Arabia,Saudi Arabian or Saudi,a Saudi Arabian or a Saudi
Scotland,Scottish,a Scot
Senegal,Senegalese,a Senegalese
Serbia,Serb or Serbian,a Serb or a Serbian
"Seychelles, the",Seychellois,a Seychellois
Sierra Leone,Sierra Leonian,a Sierra Leonian
Singapore,Singaporean,a Singaporean
Slovakia,Slovak,a Slovak
Slovenia,Slovene or Slovenian,a Slovene or a Slovenian
Solomon Islands,-,a Solomon Islander
Somalia,Somali,a Somali
South Africa,South African,a South African
South Korea,South Korean,a South Korean
Spain,Spanish,a Spaniard
Sri Lanka,Sri Lankan,a Sri Lankan
Sudan,Sudanese,a Sudanese
Suriname,Surinamese,a Surinamer or a Surinamese
Swaziland,Swazi,a Swazi
Sweden,Swedish,a Swede
Switzerland,Swiss,a Swiss
Syria,Syrian,a Syrian
Taiwan,Taiwanese,a Taiwanese
Tajikistan,Tajik or Tadjik,a Tajik or a Tadjik
Tanzania,Tanzanian,a Tanzanian
Thailand,Thai,a Thai
Togo,Togolese,a Togolese
Trinidad and Tobago,"Trinidadian
 Tobagan
 Tobagonian","a Trinidadian
 a Tobagan
 a Tobagonian"
Tunisia,Tunisian,a Tunisian
Turkey,Turkish,a Turk
Turkmenistan,Turkmen or Turkoman,a Turkmen or a Turkoman
Tuvalu,Tuvaluan,a Tuvaluan
Uganda,Ugandan,a Ugandan
Ukraine,Ukrainian,a Ukrainian
United Arab Emirates (UAE),"UAE or Emirates (used attributively only, as in UAE buildings, Emirates holidays but not He is UAE, I am Emirates) or Emirati",an Emirati
United Kingdom (UK),"UK (used attributively only, as in UK time but not He is UK) or British",a Briton
United States of America (USA),"US (used attributively only, as in US aggression but not He is US)",a US citizen
Uruguay,Uruguayan,a Uruguayan
Uzbekistan,Uzbek,an Uzbek
Vanuatu,Vanuatuan,a Vanuatuan
Vatican City,-,-
Venezuela,Venezuelan,a Venezuelan
Vietnam,Vietnamese,a Vietnamese
Wales,Welsh,"a Welshman, a Welshwoman"
Western Samoa,Western Samoan,a Western Samoan
Yemen,Yemeni,a Yemeni
Yugoslavia,Yugoslav,a Yugoslav
Zaire,Zaïrean,a Zaïrean
Zambia,Zambian,a Zambian
Zimbabwe,Zimbabwean,a Zimbabwean
